questions,answers,category,disease
Heart attack symptoms,"⚠️ Heart attack symptoms: Severe chest pain/pressure, pain radiating to left arm/jaw/back, shortness of breath, sweating, nausea, dizziness, extreme fatigue. If you experience these, call 108 IMMEDIATELY. Time is critical in heart attacks.",emergency,Cardiac
How to stay healthy,"To stay healthy: Eat balanced diet with fruits and vegetables, exercise 30 minutes daily, drink 8 glasses of water, sleep 7-8 hours, avoid smoking and excessive alcohol, manage stress, maintain hygiene, get regular health checkups, and stay positive.",prevention,General
What is healthy diet,"Healthy diet includes: Variety of fruits and vegetables, whole grains, lean proteins, nuts and seeds, low-fat dairy, limited sugar and salt, adequate water intake. Avoid processed foods, trans fats, and excessive red meat.",prevention,General
What are COVID symptoms,"Common COVID-19 symptoms: fever, dry cough, fatigue, body ache, loss of taste or smell, sore throat. In severe cases: difficulty breathing, chest pain, confusion. If you have symptoms, isolate yourself, monitor oxygen levels, and consult doctor. Get tested and vaccinated.",information,COVID-19
COVID prevention tips,"COVID-19 prevention: Wear mask in crowded places, maintain 6 feet distance, wash hands frequently, use sanitizer, avoid touching face, get vaccinated, boost immunity with healthy diet, avoid large gatherings if possible.",prevention,COVID-19
I have skin rash and itching,"Skin rash and itching can be due to allergy, infection, or skin condition. Keep area clean and dry, avoid scratching, apply prescribed cream, identify and avoid allergens. If rash spreads rapidly, has blisters, or is accompanied by fever, consult dermatologist.",symptoms,Dermatitis
My eyes are red and watery,"Red watery eyes suggest conjunctivitis or eye irritation. Avoid rubbing eyes, wash hands frequently, use clean towels, apply prescribed eye drops, avoid sharing personal items. If vision is affected or pain is severe, consult eye specialist immediately.",symptoms,Conjunctivitis
I have lower back pain,"Lower back pain is common. Rest but avoid prolonged bed rest, apply hot/cold compress, do gentle stretching, maintain good posture, use firm mattress. Avoid heavy lifting. If pain radiates to legs, causes numbness, or accompanied by fever, consult orthopedic doctor.",symptoms,Back Pain
When should I see a doctor,"See a doctor if: Symptoms persist for more than few days, severe pain, high fever (>103°F), difficulty breathing, chest pain, sudden severe headache, unexplained weight loss, bleeding, persistent vomiting, signs of infection, or any symptom that concerns you.",information,General
What is normal body temperature,"Normal body temperature is around 98.6°F (37°C), but can range from 97°F to 99°F. Temperature above 100.4°F (38°C) is considered fever. Temperature can vary based on time of day, activity, and individual factors.",information,General
What are dengue symptoms,"Dengue symptoms include: high fever (104°F), severe headache, pain behind eyes, joint and muscle pain, nausea, vomiting, skin rash appearing 2-5 days after fever. Severe dengue can cause bleeding, organ damage. Drink plenty of fluids, take paracetamol (NOT aspirin), and consult doctor immediately if symptoms appear.",symptoms,Dengue
How to prevent dengue,"Dengue prevention: Use mosquito repellent, wear long-sleeved clothes, use mosquito nets, eliminate standing water around home, keep water containers covered, use window screens. Mosquitoes that spread dengue bite during daytime. Community effort in keeping surroundings clean is important.",prevention,Dengue
What are dengue symptoms,"Dengue symptoms include: high fever (104°F), severe headache, pain behind eyes, joint and muscle pain, nausea, vomiting, skin rash appearing 2-5 days after fever. Severe dengue can cause bleeding, organ damage. Drink plenty of fluids, take paracetamol (NOT aspirin), and consult doctor immediately if symptoms appear.",symptoms,Dengue
How to prevent dengue,"Dengue prevention: Use mosquito repellent, wear long-sleeved clothes, use mosquito nets, eliminate standing water around home, keep water containers covered, use window screens. Mosquitoes that spread dengue bite during daytime. Community effort in keeping surroundings clean is important.",prevention,Dengue
I have fever with chills,"Fever with chills can indicate malaria, dengue, or severe infection. Other symptoms to watch: sweating, headache, body ache, nausea. Get blood test done immediately to confirm. Take prescribed antimalarial medication if positive. Prevent mosquito bites, use nets, and keep surroundings clean.",symptoms,Malaria
Malaria prevention tips,"Malaria prevention: Sleep under mosquito nets, use insect repellent, wear protective clothing, take antimalarial tablets if traveling to endemic areas, eliminate mosquito breeding sites, use mosquito coils/vaporizers. Mosquitoes bite during night time. Get immediate treatment if fever develops.",prevention,Malaria
Symptoms of typhoid fever,"Typhoid symptoms: Prolonged high fever (103-104°F), weakness, stomach pain, headache, loss of appetite, constipation or diarrhea, rash on chest. Fever gradually increases over several days. Get blood test (Widal test) done. Take complete antibiotic course as prescribed. Maintain hygiene and drink clean water.",symptoms,Typhoid
How to prevent typhoid,"Typhoid prevention: Drink only boiled or filtered water, eat freshly cooked hot food, avoid street food and raw vegetables, wash hands before eating, get typhoid vaccination, maintain good hygiene, avoid ice and ice cream from unknown sources. Wash fruits and vegetables properly.",prevention,Typhoid
My eyes are yellow,"Yellow eyes (jaundice) indicate liver problem or hepatitis. Other symptoms: yellow skin, dark urine, pale stools, tiredness, abdominal pain. Stop all medications, avoid alcohol completely, drink plenty of water, eat light diet. Get liver function test done immediately and consult doctor. Jaundice needs proper medical treatment.",symptoms,Jaundice
Diet for jaundice patient,"Jaundice diet: Drink plenty of water and fresh fruit juices, eat easily digestible foods like rice, dal, vegetables, avoid oily and spicy foods, avoid alcohol completely, eat small frequent meals, include sugarcane juice, fruits like papaya and banana. Avoid red meat and processed foods. Rest is important.",treatment,Jaundice
What are TB symptoms,"TB symptoms include: persistent cough for more than 3 weeks, coughing up blood or sputum, chest pain, fever (especially evening), night sweats, weight loss, loss of appetite, fatigue. TB is curable with 6-9 months of medication. Get sputum test done if symptoms present. TB treatment is FREE in government hospitals.",information,Tuberculosis
Is TB contagious,"Yes, TB is contagious and spreads through air when infected person coughs or sneezes. However, it is curable with proper treatment. TB patients should: cover mouth while coughing, take complete medication course (6-9 months), avoid crowded places initially, ensure good ventilation at home. Family members should get tested. TB treatment is free in India.",information,Tuberculosis
Symptoms of thyroid problem,"Thyroid symptoms vary: Hyperthyroid - weight loss, rapid heartbeat, nervousness, sweating, tremors. Hypothyroid - weight gain, fatigue, cold sensitivity, constipation, dry skin, hair loss. Get TSH blood test done for diagnosis. Thyroid disorders need lifelong medication but are easily manageable with proper treatment.",information,Thyroid
Diet for thyroid patients,"Thyroid diet tips: Include iodized salt, seafood, eggs, dairy products. For hypothyroid: eat selenium-rich foods (brazil nuts, fish), avoid excessive cabbage/cauliflower. For hyperthyroid: limit iodine intake. Maintain regular meal times, exercise regularly, take thyroid medication on empty stomach. Regular checkups important.",treatment,Thyroid
I have severe pain in lower back,"Severe lower back or side pain may indicate kidney stones. Other symptoms: blood in urine, frequent urination, nausea, vomiting. Drink 10-12 glasses of water daily, apply hot compress, take pain relief as prescribed. Small stones pass naturally. If pain is unbearable or fever develops, visit hospital immediately.",symptoms,Kidney Stones
How to prevent kidney stones,"Kidney stone prevention: Drink 8-10 glasses of water daily, reduce salt intake, limit animal protein, eat calcium-rich foods with meals, reduce oxalate-rich foods (spinach, nuts), avoid soft drinks, maintain healthy weight, exercise regularly. Lemon water helps prevent stone formation. Regular health checkups important.",prevention,Kidney Stones
I feel tired all the time,"Constant tiredness can indicate anemia (low hemoglobin), thyroid problem, vitamin deficiency, or other conditions. Other anemia symptoms: pale skin, dizziness, shortness of breath, cold hands and feet. Get CBC blood test done. Eat iron-rich foods (spinach, dates, jaggery), take iron supplements if prescribed. Vitamin C helps iron absorption.",symptoms,Anemia
Iron rich foods for anemia,"Iron-rich foods: Green leafy vegetables (spinach, fenugreek), dates, jaggery, pomegranate, beetroot, raisins, meat, fish, eggs, beans, lentils. Include vitamin C foods (citrus fruits, tomatoes) to improve iron absorption. Avoid tea/coffee with meals. Take iron tablets if prescribed. Cook in iron utensils when possible.",treatment,Anemia
I get frequent headaches with nausea,"Frequent headaches with nausea, sensitivity to light and sound suggest migraine. Triggers include: stress, certain foods, lack of sleep, hormonal changes. During attack: rest in dark quiet room, cold compress on forehead, drink water, take prescribed medication early. Identify and avoid triggers. If frequency increases, consult neurologist.",symptoms,Migraine
How to prevent migraine attacks,"Migraine prevention: Maintain regular sleep schedule, stay hydrated, eat regular meals, avoid trigger foods (chocolate, cheese, caffeine), manage stress, exercise regularly, maintain headache diary to identify triggers. Limit screen time, practice relaxation techniques. Take preventive medication if prescribed by doctor.",prevention,Migraine
I have constant sneezing and runny nose,"Constant sneezing, runny nose, itchy eyes indicate allergic rhinitis. Common triggers: dust, pollen, pet dander, mold. Treatment: antihistamine tablets, nasal sprays, avoid allergens, keep home clean and dust-free, use air purifiers. If symptoms persist, get allergy test done to identify specific allergens. Seasonal allergies are common.",symptoms,Allergies
How to manage allergies,"Allergy management: Identify and avoid triggers, keep home clean, use dust-proof covers on pillows, wash bedding in hot water weekly, avoid pets if allergic, keep windows closed during high pollen season, take antihistamines as needed, use saline nasal rinse. Consider immunotherapy for severe allergies.",treatment,Allergies
I have burning sensation in chest,"Burning sensation in chest (heartburn) indicates acidity or GERD. Other symptoms: sour taste, difficulty swallowing, burping. Avoid spicy/oily foods, eat small frequent meals, don't lie down immediately after eating, elevate head while sleeping, avoid tight clothes, reduce stress. Take antacids if needed. If severe, consult gastroenterologist.",symptoms,Acidity
Foods to avoid in acidity,"Avoid in acidity: Spicy foods, citrus fruits, tomatoes, chocolate, coffee, tea, carbonated drinks, alcohol, fried and fatty foods, mint, onions, garlic. Eat: bananas, melons, oatmeal, rice, bread, green vegetables, ginger, fennel. Eat slowly, chew properly, drink water 30 minutes before meals.",treatment,Acidity
Burning sensation while urinating,"Burning during urination suggests UTI (urinary tract infection). Other symptoms: frequent urge to urinate, cloudy or bloody urine, lower abdominal pain, fever. Drink plenty of water (8-10 glasses), cranberry juice helps, maintain hygiene. Get urine test done. Complete antibiotic course as prescribed. Women are more prone to UTI.",symptoms,UTI
How to prevent UTI,"UTI prevention: Drink plenty of water, urinate frequently, don't hold urine, wipe front to back after toilet, urinate after sexual intercourse, avoid tight underwear, maintain genital hygiene, avoid harsh soaps, wear cotton underwear, cranberry juice may help. Women should be especially careful during menstruation.",prevention,UTI
I have bone pain and weakness,"Bone pain, muscle weakness, fatigue can indicate Vitamin D deficiency. Other symptoms: frequent infections, depression, slow wound healing. Get Vitamin D blood test done. Increase sun exposure (15-20 minutes daily), eat vitamin D rich foods (fish, eggs, fortified milk), take supplements if prescribed. Very common deficiency in India.",symptoms,Vitamin D Deficiency
Sources of vitamin D,"Vitamin D sources: Sunlight exposure (15-20 minutes daily before 10 AM or after 4 PM), fatty fish (salmon, mackerel), egg yolks, fortified milk and cereals, mushrooms. Take Vitamin D3 supplements if deficient. Regular blood tests to monitor levels. Vitamin D is crucial for bone health and immunity.",prevention,Vitamin D Deficiency
I feel anxious and stressed all the time,"Constant anxiety and stress affect physical and mental health. Symptoms: restlessness, rapid heartbeat, sweating, difficulty concentrating, sleep problems. Practice: deep breathing, meditation, yoga, regular exercise, adequate sleep, healthy diet. Talk to loved ones, consider counseling. If severe, consult psychiatrist. Mental health is as important as physical health.",symptoms,Anxiety
How to manage stress,"Stress management: Exercise regularly, practice meditation and yoga, maintain sleep schedule, eat healthy, stay connected with friends and family, pursue hobbies, limit caffeine and alcohol, take breaks from work, practice time management, seek professional help if needed. Deep breathing and mindfulness help immediately.",treatment,Anxiety
I cannot sleep at night,"Insomnia (sleep problems) can be due to stress, anxiety, poor sleep habits, or medical conditions. Tips: maintain regular sleep schedule, avoid caffeine after 4 PM, reduce screen time before bed, create dark quiet bedroom, avoid heavy meals at night, exercise regularly but not before bed. If persistent, consult doctor.",symptoms,Insomnia
Tips for better sleep,"Better sleep tips: Go to bed and wake up at same time daily, avoid daytime naps, limit screen time 1 hour before sleep, keep bedroom cool and dark, avoid caffeine and alcohol, do relaxing activities before bed, don't eat heavy meals late, exercise during day, try warm milk or chamomile tea before bed.",treatment,Insomnia
My joints are painful and stiff,"Joint pain and stiffness can indicate arthritis, vitamin D deficiency, or injury. Common in: knees, hips, hands. Apply hot/cold compress, gentle exercises, maintain healthy weight, avoid prolonged sitting. Eat: turmeric, ginger, omega-3 rich foods. Take calcium and vitamin D supplements. If severe or progressive, consult orthopedic doctor.",symptoms,Arthritis
How to prevent joint pain,"Joint pain prevention: Maintain healthy weight, exercise regularly (walking, swimming), strengthen muscles, avoid repetitive stress, maintain good posture, eat calcium and vitamin D rich foods, stay hydrated, avoid high heels, use proper techniques when lifting heavy objects. Early morning stiffness needs medical evaluation.",prevention,Arthritis
Signs of dehydration,"Dehydration symptoms: dry mouth and lips, dark yellow urine, dizziness, fatigue, decreased urination, rapid heartbeat, sunken eyes. Severe dehydration is emergency. Treatment: drink water immediately, ORS solution, coconut water, avoid caffeinated drinks. In severe cases with vomiting/diarrhea, may need IV fluids. Prevent by drinking 8-10 glasses water daily.",symptoms,Dehydration
How much water should I drink daily,"Drink 8-10 glasses (2-3 liters) of water daily. More if: exercising, hot weather, pregnant/breastfeeding, illness with fever/vomiting. Signs of good hydration: pale yellow urine, no excessive thirst, good energy levels. Increase intake gradually. Include water-rich fruits and vegetables. Don't wait until thirsty to drink water.",prevention,General
Benefits of regular exercise,"Regular exercise benefits: maintains healthy weight, reduces disease risk (diabetes, heart disease, cancer), improves mental health, strengthens bones and muscles, increases energy, better sleep, improves mood. Aim for 30 minutes daily. Include: walking, jogging, yoga, swimming, cycling. Start slowly and increase gradually. Consult doctor before starting intense exercise.",prevention,General
Balanced diet components,"Balanced diet includes: Whole grains (rice, wheat, oats), proteins (dal, legumes, eggs, fish, lean meat), plenty of fruits and vegetables, dairy products, nuts and seeds, healthy fats. Avoid: processed foods, excess sugar and salt, trans fats. Eat at regular times, drink plenty of water, portion control is important.",prevention,General
